product_name,category,rating,review_text,true_sentiment,clean_review
Dumbbells,Electronics,2.0,Shipping took forever and the product was defective on arrival.,Negative,shipping took forever product defective arrival
Jeans,Clothing,2.0,Customer service was rude and unhelpful. Never buying again. Recommended to friends.,Negative,customer service rude unhelpful never buying recommended friend
Blender,Home & Kitchen,1.0,"Terrible quality, looks nothing like the pictures online. Very impressed overall.",Negative,terrible quality look nothing like picture online impressed overall
Novel,Sports,2.0,Poor packaging and the item stopped working immediately. Would buy again.,Negative,poor packaging item stopped working immediately would buy
Python Guide,Clothing,1.0,Worst purchase ever. Complete waste of money. Good build quality.,Negative,worst purchase ever complete waste money good build quality
Coffee Maker,Electronics,1.0,Product arrived damaged and return process was a nightmare. Would buy again.,Negative,product arrived damaged return process nightmare would buy
Jeans,Clothing,1.0,Horrible experience from order to delivery. Avoid this seller. Good build quality.,Negative,horrible experience order delivery avoid seller good build quality
Face Cream,Electronics,1.0,Extremely fragile. Broke on first use. Very disappointing. Delivery was quick.,Negative,extremely fragile broke first use disappointing delivery quick
Headphones,Books,2.0,Product arrived damaged and return process was a nightmare.,Negative,product arrived damaged return process nightmare
Novel,Beauty,2.0,Shipping took forever and the product was defective on arrival. Very impressed overall.,Negative,shipping took forever product defective arrival impressed overall
T-Shirt,Electronics,2.0,Worst purchase ever. Complete waste of money. Packaging was neat.,Negative,worst purchase ever complete waste money packaging neat
Coffee Maker,Beauty,2.0,Customer service was rude and unhelpful. Never buying again. Packaging was neat.,Negative,customer service rude unhelpful never buying packaging neat
T-Shirt,Books,4.0,Customer service was rude and unhelpful. Never buying again. Very impressed overall.,Negative,customer service rude unhelpful never buying impressed overall
Dumbbells,Clothing,2.0,Not worth the price. Very cheap materials used. Packaging was neat.,Negative,worth price cheap material used packaging neat
Python Guide,Electronics,1.0,Product arrived damaged and return process was a nightmare. The size was perfect.,Negative,product arrived damaged return process nightmare size perfect
Shampoo,Electronics,1.0,"Terrible quality, looks nothing like the pictures online. Packaging was neat.",Negative,terrible quality look nothing like picture online packaging neat
Shampoo,Home & Kitchen,1.0,Very disappointed. Product broke after just two days. Packaging was neat.,Negative,disappointed product broke two day packaging neat
Laptop,Beauty,2.0,"Terrible quality, looks nothing like the pictures online. Delivery was quick.",Negative,terrible quality look nothing like picture online delivery quick
Yoga Mat,Sports,1.0,Not worth the price. Very cheap materials used. The size was perfect.,Negative,worth price cheap material used size perfect
Face Cream,Beauty,2.0,Extremely fragile. Broke on first use. Very disappointing. Would buy again.,Negative,extremely fragile broke first use disappointing would buy
Shampoo,Home & Kitchen,1.0,Horrible experience from order to delivery. Avoid this seller. The size was perfect.,Negative,horrible experience order delivery avoid seller size perfect
Jeans,Home & Kitchen,1.0,Customer service was rude and unhelpful. Never buying again. Good build quality.,Negative,customer service rude unhelpful never buying good build quality
Yoga Mat,Electronics,2.0,Extremely fragile. Broke on first use. Very disappointing. Recommended to friends.,Negative,extremely fragile broke first use disappointing recommended friend
Novel,Sports,2.0,Extremely fragile. Broke on first use. Very disappointing. Not what I expected though.,Negative,extremely fragile broke first use disappointing expected though
Laptop,Home & Kitchen,2.0,Not worth the price. Very cheap materials used. Would buy again.,Negative,worth price cheap material used would buy
Headphones,Sports,1.0,Customer service was rude and unhelpful. Never buying again. Not what I expected though.,Negative,customer service rude unhelpful never buying expected though
Dumbbells,Clothing,2.0,Worst purchase ever. Complete waste of money. Recommended to friends.,Negative,worst purchase ever complete waste money recommended friend
T-Shirt,Sports,2.0,Horrible experience from order to delivery. Avoid this seller. Packaging was neat.,Negative,horrible experience order delivery avoid seller packaging neat
Headphones,Books,1.0,Shipping took forever and the product was defective on arrival. Packaging was neat.,Negative,shipping took forever product defective arrival packaging neat
Dumbbells,Books,1.0,Poor packaging and the item stopped working immediately. Recommended to friends.,Negative,poor packaging item stopped working immediately recommended friend
T-Shirt,Electronics,2.0,Extremely fragile. Broke on first use. Very disappointing. Packaging was neat.,Negative,extremely fragile broke first use disappointing packaging neat
Dumbbells,Clothing,1.0,Product arrived damaged and return process was a nightmare. Very impressed overall.,Negative,product arrived damaged return process nightmare impressed overall
Blender,Clothing,2.0,Worst purchase ever. Complete waste of money. Delivery was quick.,Negative,worst purchase ever complete waste money delivery quick
Yoga Mat,Electronics,2.0,Horrible experience from order to delivery. Avoid this seller. Not what I expected though.,Negative,horrible experience order delivery avoid seller expected though
Dumbbells,Sports,1.0,Not worth the price. Very cheap materials used. Very impressed overall.,Negative,worth price cheap material used impressed overall
Jeans,Beauty,2.0,Shipping took forever and the product was defective on arrival. Good build quality.,Negative,shipping took forever product defective arrival good build quality
Jeans,Home & Kitchen,1.0,Shipping took forever and the product was defective on arrival. The size was perfect.,Negative,shipping took forever product defective arrival size perfect
Python Guide,Sports,2.0,Product arrived damaged and return process was a nightmare. Delivery was quick.,Negative,product arrived damaged return process nightmare delivery quick
Python Guide,Home & Kitchen,2.0,Not worth the price. Very cheap materials used. Not what I expected though.,Negative,worth price cheap material used expected though
Laptop,Home & Kitchen,2.0,Very disappointed. Product broke after just two days. Delivery was quick.,Negative,disappointed product broke two day delivery quick
Coffee Maker,Sports,2.0,Customer service was rude and unhelpful. Never buying again. The size was perfect.,Negative,customer service rude unhelpful never buying size perfect
Laptop,Electronics,1.0,Product arrived damaged and return process was a nightmare. Packaging was neat.,Negative,product arrived damaged return process nightmare packaging neat
Blender,Electronics,1.0,Worst purchase ever. Complete waste of money. Very impressed overall.,Negative,worst purchase ever complete waste money impressed overall
Jeans,Home & Kitchen,1.0,Shipping took forever and the product was defective on arrival. Recommended to friends.,Negative,shipping took forever product defective arrival recommended friend
Headphones,Home & Kitchen,2.0,Not worth the price. Very cheap materials used. Recommended to friends.,Negative,worth price cheap material used recommended friend
Headphones,Books,1.0,Product arrived damaged and return process was a nightmare. Good build quality.,Negative,product arrived damaged return process nightmare good build quality
Yoga Mat,Electronics,1.0,Horrible experience from order to delivery. Avoid this seller. Delivery was quick.,Negative,horrible experience order delivery avoid seller delivery quick
Python Guide,Sports,2.0,Very disappointed. Product broke after just two days. Would buy again.,Negative,disappointed product broke two day would buy
Headphones,Home & Kitchen,2.0,Horrible experience from order to delivery. Avoid this seller. Very impressed overall.,Negative,horrible experience order delivery avoid seller impressed overall
Python Guide,Electronics,1.0,Very disappointed. Product broke after just two days. Very impressed overall.,Negative,disappointed product broke two day impressed overall
Jeans,Clothing,4.0,Delivery was on time but product is just mediocre.,Neutral,delivery time product mediocre
T-Shirt,Clothing,3.0,Decent product. Some minor issues but generally acceptable.,Neutral,decent product minor issue generally acceptable
Face Cream,Home & Kitchen,3.0,Decent product. Some minor issues but generally acceptable. Recommended to friends.,Neutral,decent product minor issue generally acceptable recommended friend
Novel,Clothing,3.0,"It works as described. Nothing impressive, nothing terrible.",Neutral,work described nothing impressive nothing terrible
Headphones,Electronics,3.0,Product is functional but the design could be improved.,Neutral,product functional design could improved
Laptop,Home & Kitchen,3.0,Product is okay. Nothing special but does the job. Very impressed overall.,Neutral,product okay nothing special job impressed overall
Jeans,Beauty,3.0,"Not great, not bad. Just an average product overall.",Neutral,great bad average product overall
Dumbbells,Electronics,3.0,Standard quality. Arrived as expected with basic packaging. Good build quality.,Neutral,standard quality arrived expected basic packaging good build quality
Coffee Maker,Books,3.0,Standard quality. Arrived as expected with basic packaging. Delivery was quick.,Neutral,standard quality arrived expected basic packaging delivery quick
Python Guide,Home & Kitchen,3.0,Satisfactory purchase. Met basic expectations nothing more.,Neutral,satisfactory purchase met basic expectation nothing
Python Guide,Beauty,3.0,Satisfactory purchase. Met basic expectations nothing more. Good build quality.,Neutral,satisfactory purchase met basic expectation nothing good build quality
Face Cream,Beauty,3.0,Standard quality. Arrived as expected with basic packaging. Very impressed overall.,Neutral,standard quality arrived expected basic packaging impressed overall
Python Guide,Sports,3.0,Standard quality. Arrived as expected with basic packaging.,Neutral,standard quality arrived expected basic packaging
Yoga Mat,Books,3.0,Average quality. Could be better for the price. The size was perfect.,Neutral,average quality could better price size perfect
Face Cream,Beauty,3.0,Decent product. Some minor issues but generally acceptable. The size was perfect.,Neutral,decent product minor issue generally acceptable size perfect
Headphones,Home & Kitchen,3.0,Average quality. Could be better for the price. Would buy again.,Neutral,average quality could better price would buy
Python Guide,Clothing,3.0,Fair product for the price. Does what it says on the tin.,Neutral,fair product price say tin
Dumbbells,Books,3.0,Delivery was on time but product is just mediocre. Not what I expected though.,Neutral,delivery time product mediocre expected though
Novel,Beauty,3.0,Delivery was on time but product is just mediocre. Good build quality.,Neutral,delivery time product mediocre good build quality
Jeans,Clothing,3.0,Product is okay. Nothing special but does the job.,Neutral,product okay nothing special job
Face Cream,Books,3.0,Standard quality. Arrived as expected with basic packaging. Packaging was neat.,Neutral,standard quality arrived expected basic packaging packaging neat
Blender,Sports,3.0,Product is okay. Nothing special but does the job. Not what I expected though.,Neutral,product okay nothing special job expected though
Python Guide,Home & Kitchen,3.0,Average quality. Could be better for the price.,Neutral,average quality could better price
Dumbbells,Sports,3.0,Standard quality. Arrived as expected with basic packaging. The size was perfect.,Neutral,standard quality arrived expected basic packaging size perfect
Python Guide,Electronics,3.0,Product is okay. Nothing special but does the job. Delivery was quick.,Neutral,product okay nothing special job delivery quick
Face Cream,Sports,3.0,"Not great, not bad. Just an average product overall. Recommended to friends.",Neutral,great bad average product overall recommended friend
Laptop,Electronics,3.0,Delivery was on time but product is just mediocre. Delivery was quick.,Neutral,delivery time product mediocre delivery quick
Face Cream,Beauty,3.0,Fair product for the price. Does what it says on the tin. Would buy again.,Neutral,fair product price say tin would buy
Shampoo,Sports,3.0,Product is functional but the design could be improved. Recommended to friends.,Neutral,product functional design could improved recommended friend
Headphones,Clothing,3.0,"It works as described. Nothing impressive, nothing terrible. Delivery was quick.",Neutral,work described nothing impressive nothing terrible delivery quick
Coffee Maker,Books,3.0,Fair product for the price. Does what it says on the tin. Recommended to friends.,Neutral,fair product price say tin recommended friend
Laptop,Beauty,3.0,Delivery was on time but product is just mediocre. The size was perfect.,Neutral,delivery time product mediocre size perfect
Python Guide,Sports,3.0,Standard quality. Arrived as expected with basic packaging. Not what I expected though.,Neutral,standard quality arrived expected basic packaging expected though
Yoga Mat,Beauty,3.0,Satisfactory purchase. Met basic expectations nothing more. Packaging was neat.,Neutral,satisfactory purchase met basic expectation nothing packaging neat
Python Guide,Books,3.0,Satisfactory purchase. Met basic expectations nothing more. Very impressed overall.,Neutral,satisfactory purchase met basic expectation nothing impressed overall
Blender,Home & Kitchen,3.0,"It works as described. Nothing impressive, nothing terrible. Recommended to friends.",Neutral,work described nothing impressive nothing terrible recommended friend
Python Guide,Electronics,3.0,Product is functional but the design could be improved. Not what I expected though.,Neutral,product functional design could improved expected though
Blender,Sports,3.0,Delivery was on time but product is just mediocre. Would buy again.,Neutral,delivery time product mediocre would buy
T-Shirt,Electronics,3.0,Product is functional but the design could be improved. Packaging was neat.,Neutral,product functional design could improved packaging neat
Face Cream,Books,3.0,"Not great, not bad. Just an average product overall. Would buy again.",Neutral,great bad average product overall would buy
Jeans,Sports,3.0,Decent product. Some minor issues but generally acceptable. Very impressed overall.,Neutral,decent product minor issue generally acceptable impressed overall
Python Guide,Home & Kitchen,3.0,Standard quality. Arrived as expected with basic packaging. Recommended to friends.,Neutral,standard quality arrived expected basic packaging recommended friend
Novel,Clothing,3.0,"Not great, not bad. Just an average product overall. Very impressed overall.",Neutral,great bad average product overall impressed overall
Jeans,Books,3.0,Average quality. Could be better for the price. Very impressed overall.,Neutral,average quality could better price impressed overall
T-Shirt,Books,3.0,"It works as described. Nothing impressive, nothing terrible. Would buy again.",Neutral,work described nothing impressive nothing terrible would buy
Novel,Books,3.0,Product is functional but the design could be improved. Delivery was quick.,Neutral,product functional design could improved delivery quick
T-Shirt,Home & Kitchen,3.0,Product is okay. Nothing special but does the job. Would buy again.,Neutral,product okay nothing special job would buy
Laptop,Sports,3.0,"It works as described. Nothing impressive, nothing terrible. Very impressed overall.",Neutral,work described nothing impressive nothing terrible impressed overall
Novel,Electronics,3.0,Average quality. Could be better for the price. Delivery was quick.,Neutral,average quality could better price delivery quick
Yoga Mat,Books,3.0,Decent product. Some minor issues but generally acceptable. Would buy again.,Neutral,decent product minor issue generally acceptable would buy
Yoga Mat,Clothing,3.0,Satisfactory purchase. Met basic expectations nothing more. Recommended to friends.,Neutral,satisfactory purchase met basic expectation nothing recommended friend
Laptop,Clothing,3.0,Product is functional but the design could be improved. The size was perfect.,Neutral,product functional design could improved size perfect
Coffee Maker,Home & Kitchen,3.0,Product is functional but the design could be improved. Would buy again.,Neutral,product functional design could improved would buy
Novel,Electronics,3.0,"Not great, not bad. Just an average product overall. Packaging was neat.",Neutral,great bad average product overall packaging neat
Python Guide,Home & Kitchen,3.0,Average quality. Could be better for the price. Not what I expected though.,Neutral,average quality could better price expected though
Dumbbells,Clothing,3.0,Satisfactory purchase. Met basic expectations nothing more. Delivery was quick.,Neutral,satisfactory purchase met basic expectation nothing delivery quick
Face Cream,Home & Kitchen,3.0,Delivery was on time but product is just mediocre. Recommended to friends.,Neutral,delivery time product mediocre recommended friend
Headphones,Beauty,3.0,Fair product for the price. Does what it says on the tin. Not what I expected though.,Neutral,fair product price say tin expected though
Jeans,Beauty,3.0,"Not great, not bad. Just an average product overall. The size was perfect.",Neutral,great bad average product overall size perfect
Shampoo,Books,3.0,Delivery was on time but product is just mediocre. Packaging was neat.,Neutral,delivery time product mediocre packaging neat
Shampoo,Beauty,3.0,Satisfactory purchase. Met basic expectations nothing more. Not what I expected though.,Neutral,satisfactory purchase met basic expectation nothing expected though
Face Cream,Books,3.0,Product is okay. Nothing special but does the job. Packaging was neat.,Neutral,product okay nothing special job packaging neat
T-Shirt,Clothing,3.0,Fair product for the price. Does what it says on the tin. The size was perfect.,Neutral,fair product price say tin size perfect
Laptop,Sports,3.0,Standard quality. Arrived as expected with basic packaging. Would buy again.,Neutral,standard quality arrived expected basic packaging would buy
Headphones,Books,3.0,Product is functional but the design could be improved. Very impressed overall.,Neutral,product functional design could improved impressed overall
T-Shirt,Sports,3.0,Satisfactory purchase. Met basic expectations nothing more. The size was perfect.,Neutral,satisfactory purchase met basic expectation nothing size perfect
Coffee Maker,Beauty,3.0,"Not great, not bad. Just an average product overall. Delivery was quick.",Neutral,great bad average product overall delivery quick
Headphones,Clothing,3.0,Fair product for the price. Does what it says on the tin. Very impressed overall.,Neutral,fair product price say tin impressed overall
Yoga Mat,Books,3.0,Decent product. Some minor issues but generally acceptable. Good build quality.,Neutral,decent product minor issue generally acceptable good build quality
Coffee Maker,Books,3.0,Satisfactory purchase. Met basic expectations nothing more. Would buy again.,Neutral,satisfactory purchase met basic expectation nothing would buy
Jeans,Books,3.0,Decent product. Some minor issues but generally acceptable. Not what I expected though.,Neutral,decent product minor issue generally acceptable expected though
Face Cream,Books,3.0,Delivery was on time but product is just mediocre. Very impressed overall.,Neutral,delivery time product mediocre impressed overall
Face Cream,Electronics,3.0,"Not great, not bad. Just an average product overall. Not what I expected though.",Neutral,great bad average product overall expected though
Novel,Beauty,3.0,Decent product. Some minor issues but generally acceptable. Packaging was neat.,Neutral,decent product minor issue generally acceptable packaging neat
